Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags
2024-11-27,Instacart,Groceries,Fidelity Rewards Visa *4913,Instacart,,-27.66,
2024-11-27,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-22.36,
2024-11-26,The Home Depot,Home Improvement,Fidelity Rewards Visa *4913,The Home Depot,,-50.00,
2024-11-26,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-94.22,
2024-11-26,Salems Market Centre Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Salems Market Centre Pittsburgh Pa,,-27.45,
2024-11-26,Fine Wine & Good Spirits,Restaurants & Bars,Fidelity Rewards Visa *4913,Fine Wine & Good Spirits,,-112.97,
2024-11-26,The Home Depot,Home Improvement,Fidelity Rewards Visa *4913,The Home Depot,,26.46,
2024-11-25,Marathon,Gas,Fidelity Rewards Visa *4913,Marathon,,-45.07,
2024-11-25,Brooks Brothers Washington Pa,Gifts,Fidelity Rewards Visa *4913,Brooks Brothers Washington Pa,,-59.99,
2024-11-25,Yankee Candle,Furniture & Housewares,Fidelity Rewards Visa *4913,Yankee Candle,,-16.43,
2024-11-25,Los Pittsburgh Ou Washington Pa,Gifts,Fidelity Rewards Visa *4913,Los Pittsburgh Ou Washington Pa,,-56.16,
2024-11-22,Marathon,Gas,Fidelity Rewards Visa *4913,Marathon,,-57.37,
2024-11-22,The Brinery Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,The Brinery Pittsburgh Pa,,-22.15,
2024-11-22,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-171.65,
2024-11-21,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-21.74,
2024-11-21,Chick-Fil-A,Restaurants & Bars,Fidelity Rewards Visa *4913,Chick-fil-A,,-44.21,
2024-11-21,Convention Garage Pittsburgh Pa,Parking & Tolls,Fidelity Rewards Visa *4913,Convention Garage Pittsburgh Pa,,-12.00,
2024-11-21,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-24.97,
2024-11-20,Herbertclar,Gifts,Fidelity Rewards Visa *4913,Herbertclar,,-20.00,
2024-11-20,Goodwill,Shopping,Fidelity Rewards Visa *4913,Goodwill,,-8.55,
2024-11-19,Salems Market Centre Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Salems Market Centre Pittsburgh Pa,,-21.96,
2024-11-19,Harry's,Entertainment & Recreation,Fidelity Rewards Visa *4913,Harry's,,-41.81,
2024-11-18,Cayuga Xpress,Restaurants & Bars,Fidelity Rewards Visa *4913,Cayuga Xpress,,-159.44,
2024-11-18,Wendy's,Restaurants & Bars,Fidelity Rewards Visa *4913,Wendy's,,-8.75,
2024-11-18,ParkMobile,Parking & Tolls,Fidelity Rewards Visa *4913,ParkMobile,,-4.15,
2024-11-18,Kingcrust via Slice,Restaurants & Bars,Fidelity Rewards Visa *4913,Kingcrust via Slice,,-50.47,
2024-11-18,Commonplace Coffee Pittsburgh Pa,Coffee Shops,Fidelity Rewards Visa *4913,Commonplace Coffee Pittsburgh Pa,,-6.82,
2024-11-18,Dancing Crab Thai Nood Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Dancing Crab Thai Nood Pittsburgh Pa,,-45.00,
2024-11-18,Kuhns Banksville Pittsburgh Pa,Gas,Fidelity Rewards Visa *4913,Kuhns Banksville Pittsburgh Pa,,-26.94,
2024-11-15,Herbertclar,Gifts,Fidelity Rewards Visa *4913,Herbertclar,,-20.91,
2024-11-15,The Beer Mine Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,The Beer Mine Pittsburgh Pa,,-18.17,
2024-11-15,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-80.33,
2024-11-14,Fine Wine & Good Spirits,Restaurants & Bars,Fidelity Rewards Visa *4913,Fine Wine & Good Spirits,,-87.72,
2024-11-14,Banh Mi & Ti Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Banh Mi & Ti Pittsburgh Pa,,-17.23,
2024-11-14,Instacart,Groceries,Fidelity Rewards Visa *4913,Instacart,,-83.10,
2024-11-13,Panera Bread,Restaurants & Bars,Fidelity Rewards Visa *4913,Panera Bread,,-39.77,
2024-11-13,Scholastic,Entertainment & Recreation,Fidelity Rewards Visa *4913,Scholastic,,-30.00,
2024-11-13,Scholastic,Entertainment & Recreation,Fidelity Rewards Visa *4913,Scholastic,,-25.00,
2024-11-12,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-52.49,
2024-11-12,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-22.23,
2024-11-12,Target,Shopping,Fidelity Rewards Visa *4913,Target,,-4.59,
2024-11-12,Target,Shopping,Fidelity Rewards Visa *4913,Target,,-8.20,
2024-11-12,Madsen Pittsburgh Castle Shanno Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Madsen Pittsburgh Castle Shanno Pa,,-18.00,
2024-11-12,Sunoco,Gas,Fidelity Rewards Visa *4913,Sunoco,,-42.73,
2024-11-12,Salems Market Centre Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Salems Market Centre Pittsburgh Pa,,-14.97,
2024-11-12,Salems Market Centre Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Salems Market Centre Pittsburgh Pa,,-14.97,
2024-11-12,Trader Joe's,Groceries,Fidelity Rewards Visa *4913,Trader Joe's,,-53.36,
2024-11-12,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-168.74,
2024-11-08,Chick-Fil-A,Restaurants & Bars,Fidelity Rewards Visa *4913,Chick-fil-A,,-32.13,
2024-11-08,Marathon,Gas,Fidelity Rewards Visa *4913,Marathon,,-55.32,
2024-11-08,Herbertclar,Education,Fidelity Rewards Visa *4913,Herbertclar,,-9.68,
2024-11-07,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-50.88,
2024-11-07,Fine Wine & Good Spirits,Restaurants & Bars,Fidelity Rewards Visa *4913,Fine Wine & Good Spirits,,-34.23,
2024-11-07,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-52.71,
2024-11-06,The Beer Mine Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,The Beer Mine Pittsburgh Pa,,-16.57,
2024-11-06,Arby's,Restaurants & Bars,Fidelity Rewards Visa *4913,Arby's,,-5.33,
2024-11-05,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-147.39,
2024-11-04,New York Times,Entertainment & Recreation,Fidelity Rewards Visa *4913,New York Times,,-20.00,
2024-11-04,Bobs Carnegie Dine Pa,Transfer,Fidelity Rewards Visa *4913,Bobs Carnegie Dine Pa,,-53.93,
2024-11-04,Kingcrust via Slice,Restaurants & Bars,Fidelity Rewards Visa *4913,Kingcrust via Slice,,-53.60,
2024-11-04,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-19.83,
2024-11-04,Einstein Bros. Bagels,Restaurants & Bars,Fidelity Rewards Visa *4913,Einstein Bros. Bagels,,-5.00,
2024-11-04,The Beer Mine Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,The Beer Mine Pittsburgh Pa,,-21.38,
2024-11-01,Proper Brick Oven Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Proper Brick Oven Pittsburgh Pa,,-26.40,
2024-11-01,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-2.38,
2024-11-01,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-77.11,
2024-11-01,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-17.89,
